Time	vincentr21	Michael Tardibuono	Benjamin Wuethrich	374494	Marc-François Cochaux-Laberge	Chuck Walker	Daniel Shanker	ellen-h	Stefan Tihanyi	dubyte	Thomas Fix	Adam Harvie	frigley1	Ricky Kwan	Noah Kipin	Peter Chau	Marie Payne
1544168011	?	?	?	593	?	?	?	?	?	?	?	?	?	?	?	?	?
1544217119	?	?	?	?	?	?	?	?	216	?	?	?	?	?	?	?	?
1544217229	?	?	?	?	?	?	?	?	255	?	?	?	?	?	?	?	?
1544222070	?	?	?	?	?	?	?	?	297	?	?	?	?	?	?	?	?
1544222605	?	?	?	?	?	?	?	?	?	?	?	291	?	?	?	?	?
1544222726	?	?	?	?	?	?	?	?	339	?	?	?	?	?	?	?	?
1544224024	?	?	?	?	?	?	?	?	?	?	?	333	?	?	?	?	?
1544227656	?	?	?	?	?	?	?	?	380	?	?	?	?	?	?	?	?
1544227836	?	?	?	?	?	?	?	?	?	156	?	?	?	?	?	?	?
1544228549	?	?	?	?	?	?	?	?	421	?	?	?	?	?	?	?	?
1544245585	?	?	?	644	?	?	?	?	?	?	?	?	?	?	?	?	?
1544245626	?	633	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544245977	?	?	?	?	?	?	?	?	?	?	?	?	608	?	?	?	?
1544246005	?	684	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544246164	?	?	?	?	?	638	?	?	?	?	?	?	?	?	?	?	?
1544246228	?	?	?	694	?	?	?	?	?	?	?	?	?	?	?	?	?
1544246857	?	?	?	?	?	687	?	?	?	?	?	?	?	?	?	?	?
1544246948	?	?	?	?	?	?	?	?	?	?	?	?	656	?	?	?	?
1544247608	?	?	?	?	?	?	?	?	468	?	?	?	?	?	?	?	?
1544247712	?	?	613	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544248364	?	?	660	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544248451	?	?	?	?	?	?	?	298	?	?	?	?	?	?	?	?	?
1544250592	?	?	?	?	?	?	?	?	514	?	?	?	?	?	?	?	?
1544254888	?	?	?	?	?	?	?	?	?	194	?	?	?	?	?	?	?
1544258161	?	?	?	?	?	?	?	?	?	232	?	?	?	?	?	?	?
1544277223	?	?	?	?	?	?	?	343	?	?	?	?	?	?	?	?	?
1544278817	?	?	?	?	?	?	?	384	?	?	?	?	?	?	?	?	?
1544279105	?	?	?	?	?	?	?	425	?	?	?	?	?	?	?	?	?
1544284027	?	?	?	?	?	?	?	465	?	?	?	?	?	?	?	?	?
1544286084	?	?	?	?	?	?	?	505	?	?	?	?	?	?	?	?	?
1544291351	?	?	?	?	?	?	?	?	?	?	?	373	?	?	?	?	?
1544291934	?	?	?	?	?	?	?	?	?	?	?	413	?	?	?	?	?
1544325752	?	?	?	?	510	?	?	?	?	?	?	?	?	?	?	?	?
1544332416	?	?	?	745	?	?	?	?	?	?	?	?	?	?	?	?	?
1544332720	?	?	?	?	?	737	?	?	?	?	?	?	?	?	?	?	?
1544332780	?	?	?	?	?	788	?	?	?	?	?	?	?	?	?	?	?
1544333092	?	?	709	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544333464	?	732	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544333747	?	?	?	?	?	?	?	?	?	?	?	?	703	?	?	?	?
1544335775	?	?	?	?	?	?	?	?	?	?	?	?	753	?	?	?	?
1544335974	?	781	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544336453	?	?	?	?	556	?	?	?	?	?	?	?	?	?	?	?	?
1544336523	?	?	?	?	?	?	?	550	?	?	?	?	?	?	?	?	?
1544336677	?	?	?	793	?	?	?	?	?	?	?	?	?	?	?	?	?
1544339512	?	?	756	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544364825	?	?	?	?	602	?	?	?	?	?	?	?	?	?	?	?	?
1544388043	?	?	?	?	?	?	?	595	?	?	?	?	?	?	?	?	?
1544416419	?	?	?	?	?	?	?	?	?	?	563	?	?	?	?	?	?
1544418657	?	?	?	?	?	?	?	?	?	?	607	?	?	?	?	?	?
1544419394	?	832	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544419429	?	?	806	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544419470	?	?	857	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544419507	?	?	?	?	?	837	?	?	?	?	?	?	?	?	?	?	?
1544419578	?	?	?	841	?	?	?	?	?	?	?	?	?	?	?	?	?
1544419607	?	?	?	?	?	887	?	?	?	?	?	?	?	?	?	?	?
1544419648	?	?	?	890	?	?	?	?	?	?	?	?	?	?	?	?	?
1544420316	?	?	?	?	?	?	?	?	?	?	?	?	800	?	?	?	?
1544420507	?	?	?	?	?	?	?	?	?	?	?	?	848	?	?	?	?
1544423234	?	879	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544424879	?	?	?	?	?	?	?	?	?	?	653	?	?	?	?	?	?
1544424930	?	?	?	?	?	?	?	?	?	?	699	?	?	?	?	?	?
1544496763	?	?	?	?	647	?	?	?	?	?	?	?	?	?	?	?	?
1544496796	?	?	?	?	692	?	?	?	?	?	?	?	?	?	?	?	?
1544500185	?	?	?	?	?	?	?	?	?	271	?	?	?	?	?	?	?
1544502386	?	?	?	?	?	?	?	?	?	310	?	?	?	?	?	?	?
1544504990	?	?	?	941	?	?	?	?	?	?	?	?	?	?	?	?	?
1544505001	?	?	?	?	?	937	?	?	?	?	?	?	?	?	?	?	?
1544505208	?	?	906	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544505228	?	927	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544505339	?	?	?	?	?	?	?	?	?	?	?	?	895	?	?	?	?
